;Tidligste såning/plantning;Seneste såning/plantning;Plantes eller sås direkte I jorden;Sædskifteinterval;Antal frø eller planter per meter række;Sådybde;Anbefalet afstand mellem rækkerne I cm;Gødningsniveau;Forventet høst per række
Bønner;1. maj;15. juli;såning;6 år;12;5 cm;35;ingen;1 kg
Ærter;15. marts;1. juni;såning;6 år;15;5 cm;35;ingen;1 kg
